Title	Original Title	Type	Release year	Rating	Watch date	Comments	
X2: X-Men United		Film	2003	3	02/08/2019		
Hulk		Film	2003	3	02/08/2019		
The Punisher		Film	2004	4	03/08/2019		
Blade: Trinity		Film	2004	2	04/08/2019		
Elektra		Film	2005	3	05/08/2019		
Fantastic Four		Film	2005	3	06/08/2019		
X-Men: The Last Stand		Film	2006	4	07/08/2019		
Ghost Rider		Film	2007	3	08/08/2019		
Fantastic Four: Rise of the Silver Surfer		Film	2007	3	09/08/2019		
Beautiful Thing		Film	1996	4	09/08/2019		
Freier Fall		Film	2013	3	10/08/2019		
Better Off Dead...		Film	1985	1	11/08/2019		
Wolf Children	Ookami kodomo no Ame to Yuki	Film	2012	3	12/08/2019		
The Boy and the Beast	Bakemono no ko	Film	2015	1	13/08/2019		
Giant Little Ones		Film	2018	2	14/08/2019		
But I'm a Cheerleader		Film	1999	4	15/08/2019		
North Sea Texas		Film	2011	2	16/08/2019		
Escaflowne: The Movie		Film	2000	2	17/08/2019		
Summer Wars		Film	2009	1	17/08/2019		
The Sweatbox		Film	2002	2	18/08/2019		
Cousins		Film	1989	1	19/08/2019		
Newsies		Film	1992	1	20/08/2019		
Iron Man		Film	2008	3	21/08/2019		
The Incredible Hulk		Film	2008	2	22/08/2019		
Punisher: War Zone		Film	2008	2	23/08/2019		
X-Men Origins: Wolverine		Film	2009	1	24/08/2019		
Iron Man 2		Film	2010	1	25/08/2019		
Thor		Film	2011	2	25/08/2019		
X: First Class		Film	2011	3	26/08/2019		
Ghost Rider: Spirit of Vengeance		Film	2011	3	27/08/2019		
The Avengers		Film	2012	3	28/08/2019		
Iron Man 3		Film	2013	3	29/08/2019		
The Wolverine		Film	2013	3	30/08/2019		
Thor: The Dark World		Film	2013	1	31/08/2019		
Captain America: The Winter Soldier		Film	2014	2	01/09/2019		
X-Men: Days of Future Past		Film	2014	3	02/09/2019		
Guardians of the Galaxy		Film	2014	1	02/09/2019		
Avengers: Age of Ultron		Film	2015	2	03/09/2019		
Fantastic Four		Film	2015	1	04/09/2019		
Captain America: Civil War		Film	2016	2	05/09/2019		
X-Men: Apocalypse		Film	2016	2	06/09/2019		
Logan		Film	2017	3	07/09/2019		
Spider-Man: Homecoming		Film	2017	2	08/09/2019		
Thor: Ragnarok		Film	2017	2	09/09/2019		
Avengers: Infinity War		Film	2018	2	09/09/2019		
Deadpool 2		Film	2018	4	10/09/2019		
Captain Marvel		Film	2019	3	11/09/2019		
Avengers: Endgame		Film	2019	3	12/09/2019		
The Cat Returns	Neko no ongaeshi 	Film	2002	1	13/09/2019		
Pitch Perfect		Film	2012	3	14/09/2019		
Pitch Perfect 2		Film	2015	2	15/09/2019		
Pitch Perfect 3		Film	2017	3	16/09/2019		
Beefcake		Film	1998	2	17/09/2019		
Love Is the Devil: Study for a Portrait of Francis Bacon		Film	1998	1	17/09/2019		
Head On		Film	1998	2	18/09/2019		
The Happening		Film	2008	2	19/09/2019		
After Thomas		Film	2006	4	20/09/2019		
Submarine		Film	2010	1	21/09/2019		
Young Soul Rebels		Film	1991	3	22/09/2019		
The Art of Getting By		Film	2011	1	23/09/2019		
Ghost World		Film	2001	4	24/09/2019		
K-12		Film	2019	1	25/09/2019		
Transamerica		Film	2005	3	25/09/2019		
Gypsy 83		Film	2001	3	26/09/2019		
The History Boys		Film	2006	2	27/09/2019		
You'll Get Over It	À cause d'un garçon	Film	2002	3	28/09/2019		
A Room for Romeo Brass		Film	1999	3	29/09/2019		
Once Upon a Time in the Midlands		Film	2002	2	30/09/2019		
This Is England		Film	2006	3	01/10/2019		
Chitty Chitty Bang Bang		Film	1968	2	02/10/2019		
The Witches		Film	1990	3	03/10/2019		
A Room with a View		Film	1985	3	03/10/2019		
Myra Breckinridge		Film	1970	3	04/10/2019		
J.R.R.T.: A Film Portrait of J.R.R. Tolkien		Film	1996	2	05/10/2019		
Interview with the Vampire		Film	1994	3	06/10/2019		
Queen of the Damned		Film	2002	2	07/10/2019		
Sordid Lives		Film	2000	2	08/10/2019		
The League of Extraordinary Gentlemen		Film	2003	1	09/10/2019		
Class of 1999		Film	1990	3	10/10/2019		
The Lord of the Rings		Film	1978	2	11/10/2019		
V for Vendetta		Film	2005	2	11/10/2019		
Percy Jackson & the Olympians: The Lightning Thief		Film	2010	2	12/10/2019		
Percy Jackson: Sea of Monsters		Film	2013	1	13/10/2019		
A Clockwork Orange		Film	1971	1	14/10/2019		
Insidious		Film	2010	2	15/10/2019		
Insidious: Chapter 2		Film	2013	1	16/10/2019		
Insidious: Chapter 3		Film	2015	1	17/10/2019		
Insidious: The Last Key		Film	2018	2	18/10/2019		
Eyes Wide Shut		Film	1999	3	18/10/2019		
Straw Dogs		Film	1971	4	19/10/2019		
Tank Girl		Film	1995	2	20/10/2019		
Children of Men		Film	2006	2	21/10/2019		
Bronson		Film	2008	2	22/10/2019		
High Tension	Haute Tension	Film	2003	3	23/10/2019		
Scum		Film	1979	3	24/10/2019		
From Hell		Film	2001	2	25/10/2019		
The Shining		Film	1980	2	26/10/2019		
Clash of the Titans		Film	1981	2	26/10/2019		
Clash of the Titans		Film	2010	4	27/10/2019		
Wrath of the Titans		Film	2012	4	28/10/2019		
Point Break		Film	1991	3	29/10/2019		
The Golden Compass		Film	2007	3	30/10/2019		
Straw Dogs		Film	2011	1	31/10/2019		
Valley of the Dolls		Film	1967	2	01/11/2019		
Beyond the Valley of the Dolls		Film	1970	3	02/11/2019		
Godzilla: King of the Monsters		Film	2019	2	03/11/2019		
Pokémon Detective Pikachu		Film	2019	2	03/11/2019		
A Wrinkle in Time		Film	2003	2	04/11/2019		
Us		Film	2019	3	05/11/2019		
Crawl		Film	2019	3	06/11/2019		
The Secret Life of Pets		Film	2016	3	07/11/2019		
The Secret Life of Pets 2		Film	2019	2	08/11/2019		
Aladdin		Film	2019	4	09/11/2019		
Midsommar		Film	2019	4	10/11/2019		
Rocketman		Film	2019	3	11/11/2019		
Groundhog Day		Film	1993	3	11/11/2019		
Edge of Tomorrow		Film	2014	3	12/11/2019		
Now and Then		Film	1995	3	13/11/2019		
The Blues Brothers		Film	1980	3	14/11/2019		
Blues Brothers 2000		Film	1998	3	15/11/2019		
Seven Brides for Seven Brothers		Film	1954	3	16/11/2019		
American Beauty		Film	1999	4	17/11/2019		
Megamind		Film	2010	2	18/11/2019		
The Boss Baby		Film	2017	2	19/11/2019		
Get Out		Film	2017	3	19/11/2019		
A Star Is Born		Film	1954	1	20/11/2019		
A Star Is Born		Film	1976	1	21/11/2019		
A Star Is Born		Film	2018	2	22/11/2019		
Coco		Film	2017	3	23/11/2019		
Isle of Dogs		Film	2018	3	24/11/2019		
Phantom Thread		Film	2017	1	25/11/2019		
Sinbad: Legend of the Seven Seas		Film	2003	2	26/11/2019		
Leave No Trace		Film	2018	2	26/11/2019		
Joker		Film	2019	3	27/11/2019		
It Chapter Two		Film	2019	1	28/11/2019		
Hereditary		Film	2018	1	29/11/2019		
Hustlers		Film	2019	3	30/11/2019		
Cold War		Film	2018	2	01/12/2019		
Eli		Film	2019	3	02/12/2019		
First Reformed		Film	2017	1	03/12/2019		
Happy as Lazzaro		Film	2018	1	04/12/2019		
If Beale Street Could Talk		Film	2018	3	04/12/2019		
Dragged Across Concrete		Film	2018	3	05/12/2019		
Her		Film	2013	2	06/12/2019		
Thoroughbreds		Film	2017	1	07/12/2019		
The Endless		Film	2017	3	08/12/2019		
Unsane		Film	2018	2	09/12/2019		
La La Land		Film	2016	1	10/12/2019		
Burning	Beoning	Film	2018	1	11/12/2019		
The Favourite		Film	2018	3	12/12/2019		
Colossus: The Forbin Project		Film	1970	2	12/12/2019		
The Most Dangerous Game		Film	1932	2	13/12/2019		
A Star Is Born		Film	1937	2	14/12/2019		
You Were Never Really Here		Film	2017	1	15/12/2019		
I Kill Giants		Film	2017	3	16/12/2019		
Goldstone		Film	2016	2	17/12/2019		
Bomb City		Film	2017	3	18/12/2019		
Eighth Grade		Film	2018	3	19/12/2019		
6 Underground		Film	2019	4	20/12/2019		
The Fearless Vampire Killers		Film	1967	3	20/12/2019		
The BFG		Film	2016	1	21/12/2019		
The Faculty		Film	1998	4	22/12/2019		
Another Earth		Film	2011	2	23/12/2019		
Selena		Film	1997	3	24/12/2019		
Never Been Kissed		Film	1999	3	25/12/2019		
Sahara		Film	2005	2	26/12/2019		
The King's Speech		Film	2010	4	27/12/2019		
Dancer in the Dark		Film	2000	3	28/12/2019		
Zombieland		Film	2009	3	28/12/2019		
Zombieland: Double Tap		Film	2019	2	29/12/2019		
The Fountain		Film	2006	2	30/12/2019		
First Blood		Film	1982	3	31/12/2019		
Rambo: First Blood Part II		Film	1985	2	01/01/2020		
Rambo III		Film	1988	1	02/01/2020		
Rambo		Film	2008	3	03/01/2020		
Rambo: Last Blood		Film	2019	3	04/01/2020		
No Holds Barred		Film	1989	1	04/01/2020		
Predestination		Film	2014	4	05/01/2020		
American History X		Film	1998	3	06/01/2020		
The Evil Dead		Film	1981	2	07/01/2020		
Evil Dead II		Film	1987	1	08/01/2020		
Army of Darkness		Film	1992	2	09/01/2020		
Evil Dead		Film	2013	2	10/01/2020		
The Flintstones in Viva Rock Vegas		Film	2000	3	11/01/2020		
The English Patient		Film	1996	2	12/01/2020		
Wallis & Edward		TV Movie	2005	2	12/01/2020		
The Mortal Instruments: City of Bones		Film	2013	1	13/01/2020		
Yu-Gi-Oh!		Film	1999	3	14/01/2020		
Sonic the Hedgehog		Film	2020	3	15/01/2020		
Parasite		Film	2019	4	16/01/2020		
Onward		Film	2020	3	17/01/2020		
Terminator: Dark Fate		Film	2019	2	18/01/2020		
The Call of the Wild		Film	2020	1	19/01/2020		
Birds of Prey		Film	2020	3	20/01/2020		
Jumanji: The Next Level		Film	2019	2	20/01/2020		
Doctor Sleep		Film	2019	3	21/01/2020		
The Lion King		Film	2019	3	22/01/2020		
The Terminal		Film	2004	2	23/01/2020		
South Park: Bigger, Longer & Uncut		Film	1999	2	24/01/2020		
Halloween		Film	1978	2	25/01/2020		
Halloween II		Film	1981	2	26/01/2020		
Halloween III: Season of the Witch		Film	1982	2	27/01/2020		
El Mariachi		Film	1992	2	28/01/2020		
Halloween 4: The Return of Michael Myers		Film	1988	2	28/01/2020		
Desperado		Film	1995	1	29/01/2020		
Halloween 5: The Revenge of Michael Myers		Film	1989	2	30/01/2020		
Halloween: The Curse of Michael Myers		Film	1995	3	31/01/2020		
Halloween H20: 20 Years Later		Film	1998	2	01/02/2020		
Halloween: Resurrection		Film	2002	3	02/02/2020		
Halloween		Film	2007	2	03/02/2020		
Halloween II		Film	2009	1	04/02/2020		
Halloween		Film	2018	2	05/02/2020		
Teaching Mrs. Tingle		Film	1999	2	05/02/2020		
The Thing		Film	1982	2	06/02/2020		
Roadracers		TV Movie	1994	2	07/02/2020		
Four Rooms		Film	1995	1	08/02/2020		
Once Upon a Time in Mexico		Film	2003	1	09/02/2020		
The Adventures of Sharkboy and Lavagirl 3-D		Film	2005	2	10/02/2020		
Alita: Battle Angel		Film	2019	4	11/02/2020		
Idle Hands		Film	1999	2	12/02/2020		
Shorts		Film	2009	2	12/02/2020		
Disturbing Behavior		Film	1998	2	13/02/2020		
Urban Legend		Film	1998	3	14/02/2020		
Tremors		Film	1990	3	15/02/2020		
Tremors II: Aftershocks		Video	1996	2	16/02/2020		
Tremors 3: Back to Perfection		Video	2001	2	17/02/2020		
Tremors 4: The Legend Begins		Video	2004	2	18/02/2020		
Tremors 5: Bloodlines		Video	2015	2	19/02/2020		
Tremors: A Cold Day in Hell		Video	2018	1	20/02/2020		
Slither		Film	2006	2	20/02/2020		
Dreamcatcher		Film	2003	3	21/02/2020		
Invasion of the Body Snatchers		Film	1956	1	22/02/2020		
Invasion of the Body Snatchers		Film	1978	2	23/02/2020		
The Invasion		Film	2007	3	24/02/2020		
Body Snatchers		Film	1993	2	25/02/2020		
Night of the Creeps		Film	1986	2	26/02/2020		
Teachers		Film	1984	2	27/02/2020		
War of the Worlds		Film	2005	2	28/02/2020		
Killer Klowns from Outer Space		Film	1988	2	28/02/2020		
House on Haunted Hill		Film	1959	2	29/02/2020		
House on Haunted Hill		Film	1999	1	01/03/2020		
Stir of Echoes		Film	1999	2	02/03/2020		
White Boy Rick		Film	2018	3	03/03/2020		
Parasite		Film	1982	1	04/03/2020		
Invaders from Mars		Film	1986	2	05/03/2020		
Village of the Damned		Film	1960	2	06/03/2020		
Village of the Damned		Film	1995	2	07/03/2020		
Arachnophobia		Film	1990	2	07/03/2020		
The Town		Film	2010	4	08/03/2020		
The Gift		Film	2015	2	09/03/2020		
Vicky Cristina Barcelona		Film	2008	1	10/03/2020		
Event Horizon		Film	1997	2	11/03/2020		
Brainscan		Film	1994	3	12/03/2020		
Gravity		Film	2013	2	13/03/2020		
Escape Room		Film	2019	3	14/03/2020		
Looper		Film	2012	3	15/03/2020		
Limitless		Film	2011	2	15/03/2020		
Walk of Shame		Film	2014	2	16/03/2020		
Gone Baby Gone		Film	2007	3	17/03/2020		
The Last of the Mohicans		Film	1992	3	18/03/2020		
Déjà Vu		Film	2006	4	19/03/2020		
A Quiet Place		Film	2018	3	20/03/2020		
Exam		Film	2009	4	21/03/2020		
Timecrimes	Los Cronocrímenes	Film	2007	3	22/03/2020		
Synchronicity		Film	2015	3	22/03/2020		
The Butterfly Effect		Film	2004	3	23/03/2020		
I Origins		Film	2014	2	24/03/2020		
Mr. Nobody		Film	2009	1	25/03/2020		
Triangle		Film	2009	3	26/03/2020		
Getaway		Film	2013	1	27/03/2020		
Memories		Film	1995	3	28/03/2020		
Angel of Mine		Film	2019	3	29/03/2020		
Dude Bro Party Massacre III		Film	2015	2	30/03/2020		
Short Peace		Film	2013	2	30/03/2020		
Friday the 13th		Film	1980	2	31/03/2020		
Friday the 13th Part 2		Film	1981	2	01/04/2020		
Friday the 13th Part III		Film	1982	2	02/04/2020		
Friday the 13th: The Final Chapter		Film	1984	2	03/04/2020		
Friday the 13th: A New Beginning		Film	1985	2	04/04/2020		
Friday the 13th Part VI: Jason Lives		Film	1986	2	05/04/2020		
Friday the 13th Part VII: The New Blood		Film	1988	2	06/04/2020		
Friday the 13th Part VIII: Jason Takes Manhattan		Film	1989	2	07/04/2020		
Jason Goes to Hell: The Final Friday		Film	1993	2	07/04/2020		
Jason X		Film	2001	2	08/04/2020		
Freddy vs. Jason		Film	2003	2	09/04/2020	REPOST	
Friday the 13th		Film	2009	2	10/04/2020		
The Thing		Film	2011	2	11/04/2020		
Tristan & Isolde		Film	2006	3	12/04/2020		
Everyone Says I Love You		Film	1996	2	13/04/2020		
Rango		Film	2011	2	14/04/2020		
Empire Records		Film	1995	1	15/04/2020		
The Good Night		Film	2007	1	15/04/2020		
Peaceful Warrior		Film	2006	2	16/04/2020		
Under the Skin		Film	2013	1	17/04/2020		
Hellraiser		Film	1987	1	18/04/2020		
Hellbound: Hellraiser II		Film	1988	1	19/04/2020		
Hellraiser III: Hell on Earth		Film	1992	1	20/04/2020		
Hellraiser: Bloodline		Film	1996	1	21/04/2020		
Hellraiser: Inferno		Video	2000	2	22/04/2020		
Hellraiser: Hellseeker		Film	2002	1	22/04/2020		
Hellraiser: Deader		Film	2005	1	23/04/2020		
Hellraiser: Hellworld		Film	2005	2	24/04/2020		
Hellraiser: Revelations		Film	2011	1	25/04/2020		
Hellraiser: Judgment		Film	2018	1	26/04/2020		
Waking Life		Film	2001	1	27/04/2020		
Mahogany		Film	1975	4	28/04/2020		
The Invitation		Film	2015	3	29/04/2020		
The Score		Film	2001	3	30/04/2020		
She's the Man		Film	2006	3	30/04/2020		
The Best Little Whorehouse in Texas		Film	1982	3	01/05/2020		
Tentacles		Film	1977	1	02/05/2020		
Predator		Film	1987	2	03/05/2020		
Predator 2		Film	1990	2	04/05/2020		
Alien vs. Predator		Film	2004	2	05/05/2020		
Aliens vs. Predator: Requiem		Film	2007	2	06/05/2020		
Predators		Film	2010	2	07/05/2020		
The Predator		Film	2018	2	08/05/2020		
Dial M for Murder		Film	1954	4	08/05/2020		
Milk		Film	2008	2	09/05/2020		
Taxi Driver		Film	1976	3	10/05/2020		
Blue Streak		Film	1999	3	11/05/2020		
You're Next		Film	2011	3	12/05/2020		
Queen of Katwe		Film	2016	3	13/05/2020		
Redline		Film	2009	2	14/05/2020		
Incendies		Film	2010	2	15/05/2020		
The Invisible Man		Film	2020	3	16/05/2020		
Scoob!		Film	2020	1	16/05/2020		
21		Film	2008	1	17/05/2020		
Spaceballs		Film	1987	2	18/05/2020		
The Secret Mission	Malmoi	Film	2019	3	19/05/2020		
Be With You		Film	2018	4	20/05/2020		
Vanishing Time: A Boy Who Returned		Film	2016	4	21/05/2020	the best	
My Sassy Girl		Film	2001	2	22/05/2020		
The Throne		Film	2015	1	23/05/2020		
Adam & Paul		Film	2004	2	24/05/2020		
Lion		Film	2016	3	24/05/2020		
Puppet Master		Film	1989	2	25/05/2020		
Puppet Master II		Film	1990	2	26/05/2020		
Puppet Master III: Toulon's Revenge		Film	1991	2	27/05/2020		
Puppet Master 4		Film	1993	2	28/05/2020		
Puppet Master 5: The Final Chapter		Film	1994	2	29/05/2020		
Curse of the Puppet Master		Film	1998	2	30/05/2020		
Retro Puppet Master		Film	1999	2	31/05/2020		
Puppet Master: The Legacy		Film	2003	1	31/05/2020		
Puppet Master vs Demonic Toys		Film	2004	1	01/06/2020		
Puppet Master: Axis of Evil		Film	2010	1	02/06/2020		
Puppet Master X: Axis Rising		Film	2012	1	03/06/2020		
Puppet Master: Axis Termination		Film	2017	1	04/06/2020		
Puppet Master: The Littlest Reich		Film	2018	1	05/06/2020		
Blade: The Iron Cross		Film	2020	1	06/06/2020		
Picnic at Hanging Rock		Film	1975	2	07/06/2020		
Attack of the 50 Foot Woman		Film	1958	2	08/06/2020		
Ghoulies		Film	1984	1	08/06/2020		
Ghoulies II		Film	1987	1	09/06/2020		
Ghoulies 3: Ghoulies Go to College		Film	1991	1	10/06/2020		
Ghoulies IV		Video	1994	1	11/06/2020		
Captain Phillips		Film	2013	4	12/06/2020		
Enough Said		Film	2013	3	13/06/2020		
The Incite Mill		Film	2010	3	14/06/2020		
A Day at the Races		Film	1937	2	15/06/2020		
Navy Blue and Gold		Film	1937	2	16/06/2020		
Goodbye, Mr. Chips		Film	1939	2	16/06/2020		
Kitty Foyle		Film	1940	2	17/06/2020		
Kings Row		Film	1942	2	18/06/2020		
The Pride of the Yankees		Film	1942	2	19/06/2020		
For Whom the Bell Tolls		Film	1943	3	20/06/2020		
Casanova Brown		Film	1944	3	21/06/2020		
Saratoga Trunk		Film	1945	2	22/06/2020		
Stablemates		Film	1938	3	23/06/2020		
Ivy		Film	1947	3	24/06/2020		
Command Decision		Film	1948	2	24/06/2020		
The Stratton Story		Film	1949	2	25/06/2020		
Ambush		Film	1950	2	26/06/2020		
The Great Gatsby		Film	2013	1	27/06/2020		
The Lobster		Film	2015	1	28/06/2020		
Long Shot		Film	2019	2	29/06/2020		
Dark Night of the Scarecrow		Film	1981	1	30/06/2020		
The Blob		Film	1958	1	01/07/2020		
Son of Blob		Film	1972	1	02/07/2020		
The Blob		Film	1988	1	02/07/2020		
Scary Movie		Film	2000	3	03/07/2020		
Scary Movie 2		Film	2001	3	04/07/2020		
Scary Movie 3		Film	2003	3	05/07/2020		
Scary Movie 4		Film	2006	3	06/07/2020		
Scary Movie V		Film	2013	3	07/07/2020		
A Midsummer Night's Dream		Film	1999	2	08/07/2020		
Beauty and the Beast		Film	2017	1	09/07/2020		
Atonement		Film	2007	1	09/07/2020		
A Man Called Ove		Film	2015	3	10/07/2020		
Night of the Demons		Film	1988	3	11/07/2020		
Night of the Demons 2		Film	1994	2	12/07/2020		
Demon House		Film	1997	1	13/07/2020		
Night of the Demons		Film	2009	1	14/07/2020		
A Simple Favor		Film	2018	3	15/07/2020		
Pi		Film	1998	1	16/07/2020		
Chopping Mall		Film	1986	1	17/07/2020		
Trainspotting		Film	1996	2	17/07/2020		
T2 Trainspotting		Film	2017	3	18/07/2020		
Mr. Peabody & Sherman		Film	2014	1	19/07/2020		
The Girl on the Train		Film	2016	3	20/07/2020		
TRON		Film	1982	2	21/07/2020		
TRON: Legacy		Film	2010	3	22/07/2020		
My Girl		Film	1991	2	23/07/2020		
Kazaam		Film	1996	2	24/07/2020		
The Exorcist		Film	1973	1	25/07/2020		
Exorcist II: The Heretic		Film	1977	2	25/07/2020		
The Exorcist III		Film	1990	2	26/07/2020		
Exorcist: The Beginning		Film	2004	2	27/07/2020		
Dominion: Prequel to the Exorcist		Film	2005	1	28/07/2020		
Election		Film	1999	2	29/07/2020		
Amistad		Film	1997	3	30/07/2020		
Thelma & Louise		Film	1991	3	31/07/2020		
The Fugitive		Film	1993	3	01/08/2020		
American Pie		Film	1999	2	02/08/2020		
American Pie 2		Film	2001	2	02/08/2020		
American Pie: The Wedding		Film	2003	1	03/08/2020		
American Reunion		Film	2012	1	04/08/2020		
American Pie Presents: Band Camp		Film	2005	1	05/08/2020		
American Pie Presents: The Naked Mile		Film	2006	1	06/08/2020		
American Pie Presents: Beta House		Film	2007	1	07/08/2020		
American Pie Presents: The Book of Love		Film	2009	1	08/08/2020		
The Usual Suspects		Film	1995	2	09/08/2020		
The Amityville Horror		Film	1979	3	10/08/2020		
The Amityville Horror		Film	2005	1	10/08/2020		
Dude, Where's My Car?		Film	2000	2	11/08/2020		
The Rocky Horror Picture Show		Film	1975	1	12/08/2020		
Paulie		Film	1998	3	13/08/2020		
The Changeling		Film	1980	2	14/08/2020		
Pet Sematary		Film	1989	3	15/08/2020		
Pet Sematary		Film	2019	2	16/08/2020		
What Lies Beneath		Film	2000	4	17/08/2020		
The Little Shop of Horrors		Film	1986	3	17/08/2020		
Hollow Man		Film	2000	3	18/08/2020		
Hollow Man II		Film	2006	2	19/08/2020		
Mission: Impossible		Film	1996	2	20/08/2020		
Mission: Impossible II		Film	2000	2	21/08/2020		
Mission: Impossible III		Film	2006	2	22/08/2020		
Mission: Impossible - Ghost Protocol		Film	2011	2	23/08/2020		
Mission: Impossible - Rogue Nation		Film	2015	2	24/08/2020		
Mission: Impossible - Fallout		Film	2018	1	25/08/2020		
Dirty Harry		Film	1971	2	25/08/2020		
Magnum Force		Film	1973	2	26/08/2020		
The Enforcer		Film	1976	2	27/08/2020		
Sudden Impact		Film	1983	2	28/08/2020		
The Dead Pool		Film	1988	2	29/08/2020		
Charlie's Angels		Film	2000	2	30/08/2020		
Charlie's Angels: Full Throttle		Film	2003	2	31/08/2020		
Charlie's Angels		Film	2019	2	01/09/2020		
Twister		Film	1996	2	02/09/2020		
Crouching Tiger, Hidden Dragon		Film	2000	1	02/09/2020		
Crouching Tiger, Hidden Dragon: Sword of Destiny		Film	2016	1	03/09/2020		
Thir13en Ghosts		Film	2001	2	04/09/2020		
Signs		Film	2002	1	05/09/2020		
The Matrix		Film	1999	1	06/09/2020		
The Matrix Reloaded		Film	2003	1	07/09/2020		
The Matrix Revolutions		Film	2003	1	08/09/2020		
The Others		Film	2001	3	09/09/2020		
Pootie Tang		Film	2001	1	10/09/2020		
BASEketball		Film	1998	1	10/09/2020		
Airplane!		Film	1980	3	11/09/2020		
Airplane II: The Sequel		Film	1982	2	12/09/2020		
Saw		Film	2004	2	13/09/2020		
Saw II		Film	2005	3	14/09/2020		
Saw III		Film	2006	2	15/09/2020		
Saw IV		Film	2007	3	16/09/2020		
Saw V		Film	2008	3	17/09/2020		
Saw VI		Film	2009	2	18/09/2020		
Saw 3D		Film	2010	3	18/09/2020		
Jigsaw		Film	2017	3	19/09/2020		
Dark Water		Film	2005	2	20/09/2020		
Dark Waters		Film	2019	2	21/09/2020		
Hustle & Flow		Film	2005	1	22/09/2020		
Million Dollar Baby		Film	2004	1	23/09/2020		
Black Swan		Film	2010	1	24/09/2020		
Diary of a Mad Black Woman		Film	2005	3	25/09/2020		
Wedding Bells		Film	1951	1	25/09/2020		
I, Robot		Film	2004	1	26/09/2020		
Włatcy móch. Ćmoki, Czopki i Mondzioły		Film	2009	3	27/09/2020		
Sonic the Hedgehog: The Movie		Video	1996	3	28/09/2020		
No Country for Old Men		Film	2007	2	29/09/2020		
Mank		Film	2020	1	30/09/2020		
It's a Wonderful Life		Film	1946	2	01/10/2020		
The One I Love		Film	2014	3	02/10/2020		
Freaks		Film	2018	2	03/10/2020		
Starfish		Film	2018	1	03/10/2020		
Vivarium		Film	2019	1	04/10/2020		
The Vast of Night		Film	2019	1	05/10/2020		
Possessor		Film	2020	2	06/10/2020		
Good Time		Film	2017	3	07/10/2020		
Nameless Gangster: Rules of the Time		Film	2012	3	08/10/2020		
A Hard Day		Film	2014	4	09/10/2020		
Sympathy for Mr. Vengeance		Film	2002	3	10/10/2020		
Oldboy		Film	2003	2	11/10/2020		
Lady Vengeance		Film	2005	2	11/10/2020		
Kind Hearts and Coronets		Film	1949	1	12/10/2020		
The Fool		Film	2014	3	13/10/2020		
The Last Seduction		Film	1994	3	14/10/2020		
House of Games		Film	1987	3	15/10/2020		
Unhinged		Film	2020	2	16/10/2020		
A Goofy Movie		Film	1995	2	17/10/2020		
An Extremely Goofy Movie		Video	2000	2	18/10/2020		
One Missed Call	Chakushin ari	Film	2003	1	19/10/2020		
One Missed Call 2		Film	2005	1	19/10/2020		
One Missed Call		Film	2008	1	20/10/2020		
Stoker		Film	2013	1	21/10/2020		
A Tale of Two Sisters	Janghwa, Hongryeon	Film	2003	1	22/10/2020		
Train to Busan	Busanhaeng	Film	2016	2	23/10/2020		
Train to Busan Presents: Peninsula	Busanhaeng 2: Bando	Film	2020	2	24/10/2020		
The Killing of a Sacred Deer		Film	2017	1	25/10/2020		
The Wailing	Gokseong	Film	2016	3	26/10/2020		
32 Malasana Street	Malasaña 32	Film	2020	1	27/10/2020		
The Memoirs of Hyacinth Bucket		TV Movie	1997	2	27/10/2020		
Young Hyacinth		TV Short	2016	1	28/10/2020		
Audition	Ôdishon	Film	1999	1	29/10/2020		
Lady and the Tramp		Film	2019	2	30/10/2020		
To All the Boys: P.S. I Still Love You		Film	2020	3	31/10/2020		
The Witches		Film	2020	3	01/11/2020		
12 Monkeys		Film	1995	3	02/11/2020		
Splice		Film	2009	2	03/11/2020		
Sunshine		Film	2007	3	03/11/2020		
1984		Film	1984	3	04/11/2020		
The Fourth Kind		Film	2009	2	05/11/2020		
Pandorum		Film	2009	3	06/11/2020		
Upstream Color		Film	2013	1	07/11/2020		
eXistenZ		Film	1999	3	08/11/2020		
Annihilation		Film	2018	2	09/11/2020		
Teeth		Film	2007	1	10/11/2020		
The Graduate		Film	1967	2	11/11/2020		
Amour		Film	2012	1	11/11/2020		
Eternal Sunshine of the Spotless Mind		Film	2004	2	12/11/2020		
Happy Death Day		Film	2017	3	13/11/2020		
Happy Death Day 2U		Film	2019	3	14/11/2020		
Frankenweenie		Film	2012	2	15/11/2020		
The Grand Budapest Hotel		Film	2014	3	16/11/2020		
Cop Land		Film	1997	3	17/11/2020		
The Boxtrolls		Film	2014	2	18/11/2020		
A Man Called Horse		Film	1970	2	19/11/2020		
Burke and Hare		Film	2010	2	19/11/2020		
Jaws		Film	1975	1	20/11/2020		
Jaws 2		Film	1978	1	21/11/2020		
Jaws 3-D		Film	1983	1	22/11/2020		
The Descent		Film	2005	2	23/11/2020		
Flight of the Navigator		Film	1986	2	24/11/2020		
To All the Boys I've Loved Before		Film	2018	2	25/11/2020		
Lemon Popsicle		Film	1978	3	26/11/2020		
Lemon Popsicle 2		Film	1979	2	27/11/2020		
Hot Bubblegum		Film	1981	2	27/11/2020		
Private Popsicle		Film	1982	2	28/11/2020		
Private Manoeuvres		Film	1983	2	29/11/2020		
Baby Love		Spin-off	1983	2	30/11/2020		
Up Your Anchor		Film	1985	2	01/12/2020		
