Title	Original Title	Type	Release year	Rating	Watch date	Comments	
The Road to El Dorado		Film	2000	2	20/08/2017		
Batman Forever		Film	1995	3	21/08/2017		
Anastasia		Film	1997	2	22/08/2017		
Bartok the Magnificent		Film	1999	3	22/08/2017		
Batman & Robin		Film	1997	2	23/08/2017		
FernGully: The Last Rainforest		Film	1992	2	24/08/2017		
FernGully 2: The Magical Rescue		Film	1998	2	25/08/2017		
Batman Begins		Film	2005	3	26/08/2017		
Titanic		Film	1997	3	27/08/2017		
The Dark Knight		Film	2008	4	28/08/2017		
Avatar		Film	2009	2	29/08/2017		
The Dark Knight Rises		Film	2012	4	30/08/2017		
Boyhood		Film	2014	3	30/08/2017		
Batman v Superman: Dawn of Justice		Film	2016	3	31/08/2017		
While You Were Sleeping		Film	1995	3	01/09/2017		
Purple Rain		Film	1984	1	02/09/2017		
Spider-Man		Film	2002	3	03/09/2017		
The Outsiders		Film	1983	2	04/09/2017		
Spider-Man 2		Film	2004	3	05/09/2017		
Shark Tale		Film	2004	2	06/09/2017		
Spider-Man 3		Film	2007	3	07/09/2017		
Stonehearst Asylum		Film	2014	4	07/09/2017		
The Amazing Spider-Man		Film	2012	3	08/09/2017		
Transsiberian		Film	2008	4	09/09/2017		
The Amazing Spider-Man 2		Film	2014	3	10/09/2017		
Vanishing on 7th Street		Film	2010	3	11/09/2017		
The Machinist		Film	2004	3	12/09/2017		
Resident Evil		Film	2002	3	13/09/2017		
Memento		Film	2000	3	14/09/2017		
Resident Evil: Apocalypse		Film	2004	3	15/09/2017		
Oblivion		Film	2013	4	15/09/2017		
Resident Evil: Extinction		Film	2007	3	16/09/2017		
Inception		Film	2010	2	17/09/2017		
Resident Evil: Afterlife		Film	2010	3	18/09/2017		
Rock Dog		Film	2016	3	19/09/2017		
Resident Evil: Retribution		Film	2012	3	20/09/2017		
The Tracey Fragments		Film	2007	1	21/09/2017		
Resident Evil: The Final Chapter		Film	2016	3	22/09/2017		
Full Metal Jacket		Film	1987	2	22/09/2017		
Beetlejuice		Film	1988	2	23/09/2017		
Indiana Jones\ Raiders of the Lost Ark		Film	1981	3	24/09/2017		
Panic Room		Film	2002	2	25/09/2017		
Indiana Jones and the Temple of Doom		Film	1984	3	26/09/2017		
Blue Ruin		Film	2013	2	27/09/2017		
Indiana Jones and the Last Crusade		Film	1989	3	28/09/2017		
The Pagemaster		Film	1994	1	29/09/2017		
Indiana Jones and the Kingdom of the Crystal Skull		Film	2008	3	30/09/2017		
Murder Party		Film	2007	3	30/09/2017		
Hail, Caesar!		Film	2016	3	01/10/2017		
American Psycho		Film	2000	3	02/10/2017		
Romeo + Juliet		Film	1996	1	03/10/2017		
American Psycho II: All American Girl		Film	2002	1	04/10/2017		
10 Things I Hate About You		Film	1999	3	05/10/2017		
What's Eating Gilbert Grape		Film	1993	3	06/10/2017		
Psycho		Film	1960	3	07/10/2017		
Edward Scissorhands		Film	1990	3	08/10/2017		
Psycho II		Film	1983	3	08/10/2017		
Don Juan DeMarco		Film	1994	3	09/10/2017		
Psycho III		Film	1986	3	10/10/2017		
Benny & Joon		Film	1993	2	11/10/2017		
Psycho IV: The Beginning		Film	1990	3	12/10/2017		
Ghost		Film	1990	3	13/10/2017		
Psycho		Film	1998	1	14/10/2017		
Foxcatcher		Film	2014	3	15/10/2017		
Up in the Air		Film	2009	3	16/10/2017		
Battle Royale		Film	2000	4	16/10/2017		
Vacation		Film	2015	3	17/10/2017		
Battle Royale II		Film	2003	2	18/10/2017		
Michael Clayton		Film	2007	3	19/10/2017		
Mr. & Mrs. Smith		Film	2005	2	20/10/2017		
Infernal Affairs		Film	2002	3	21/10/2017		
Risky Business		Film	1983	2	22/10/2017		
Infernal Affairs II		Film	2003	3	23/10/2017		
Top Gun		Film	1986	2	24/10/2017		
Infernal Affairs III		Film	2003	3	24/10/2017		
The Basketball Diaries		Film	1995	2	25/10/2017		
Troy		Film	2004	3	26/10/2017		
Hotel Transylvania		Film	2012	3	27/10/2017		
Ocean's 11		Film	1960	2	28/10/2017		
Hotel Transylvania 2		Film	2015	3	29/10/2017		
Crazy, Stupid, Love.		Film	2011	2	30/10/2017		
Titan A.E.		Film	2000	2	31/10/2017		
Kick-Ass		Film	2010	2	31/10/2017		
